stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id
ST,Opposite Chao Mae Chong Ang Shrine,13.6655162,100.4451962,ST,,
ST,Chao Mae Chong Ang Shrine,13.6661330,100.4448596,ST,,
ST,Soi Wat Kamphaeng,13.6641696,100.4416151,ST,,
ST,Big C Rama 2,13.6624596,100.4401228,ST,,
ST,Central Rama 2,13.6629625,100.4395618,ST,,
ST,Opposite Nakornthon Hospital,13.6600526,100.4361263,ST,,
ST,Nakornthon Hospital,13.6605387,100.4356226,ST,,
ST,Rama 2 Soi 58,13.6578492,100.4311642,ST,,
ST,Pinrak Rama 2 Village,13.6586668,100.4296758,ST,,
ST,Koh Kae,13.6551822,100.4305108,ST,,
ST,After Hua Krabue Intersection,13.6557283,100.4291726,ST,,
ST,Before Hua Krabue Intersection,13.6563998,100.4288892,ST,,
ST,Opposite Kheha Thonburi 2,13.6528184,100.4252353,ST,,
ST,Kheha Thonburi 2,13.6532696,100.4246453,ST,,
ST,Toyota Vorachakyont Showroom Rama 2,13.6511393,100.4229594,ST,,
ST,PMG Hospital,13.6515284,100.4223116,ST,,
ST,Kheha Thonburi (Big C Rama 2 branch 2),13.6504437,100.4208025,ST,,
ST,Kheha Thonburi (Lotus's Rama 2),13.6495193,100.4207862,ST,,
ST,Saranya Village,13.6482698,100.4178961,ST,,
ST,Rama 2 Soi 71,13.6455015,100.4153396,ST,,
ST,The Royal Park Village,13.6453680,100.4139842,ST,,
ST,Sakae Ngam Road,13.6444078,100.4139060,ST,,
ST,Rama 2 Village,13.6393626,100.4060420,ST,,
ST,Opposite Rama 2 Village,13.6387045,100.4063852,ST,,
ST,Amornchai 4 Village,13.6361209,100.4037764,ST,,
ST,Opposite Amornchai 4 Village,13.6364291,100.4031167,ST,,
ST,Soi Rang Pho,13.6340022,100.4007128,ST,,
ST,Bangkradi Road,13.6326955,100.4003992,ST,,
ST,Bangpakhaew Market,13.6864485,100.4859799,ST,,
ST,Opposite Bangpakhaew Market,13.6867222,100.4861234,ST,,
ST,Wat Nak Nimit,13.6891351,100.4821878,ST,,
ST,Opposite Wat Nak Nimit,13.6892614,100.4825406,ST,,
ST,Indie Market Daokhanong,13.6904705,100.4811871,ST,,
ST,Opposite Indy Market Daokhanong,13.6911278,100.4813450,ST,,
ST,Opposite Daokhanong Market,13.6959161,100.4827778,ST,,
ST,Daokhanong Market,13.6962032,100.4825556,ST,,
ST,Opposite Big C Daokhanong,13.6994491,100.4840053,ST,,
ST,Big C Daokhanong,13.6995032,100.4836709,ST,,
ST,Opposite Saengthong Television School,13.7020258,100.4849014,ST,,
ST,Saengthong Television School,13.7020498,100.4845533,ST,,
ST,Soi Rong Kaew,13.7075065,100.4864542,ST,,
ST,Opposite Soi Rong Kaew,13.7067938,100.4865561,ST,,
