shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SUKHUMVIT_MAIN,13.855525, 100.584866,166
SUKHUMVIT_MAIN,13.854983, 100.584558,167
SUKHUMVIT_MAIN,13.854481, 100.584257,168
SUKHUMVIT_MAIN,13.853944, 100.583941,169
SUKHUMVIT_MAIN,13.853236, 100.583519,170
SUKHUMVIT_MAIN,13.852590, 100.583147,171
SUKHUMVIT_MAIN,13.851869, 100.582720,172
SUKHUMVIT_MAIN,13.851226, 100.582339,173
SUKHUMVIT_MAIN,13.850465, 100.581899,174
SUKHUMVIT_MAIN,13.850322, 100.581814,175
SUKHUMVIT_MAIN,13.849723, 100.581465,176
SUKHUMVIT_MAIN,13.848968, 100.581017,177
SUKHUMVIT_MAIN,13.848319, 100.580628,178
SUKHUMVIT_MAIN,13.847671, 100.580261,179
SUKHUMVIT_MAIN,13.847332, 100.580060,180
SUKHUMVIT_MAIN,13.846897, 100.579799,181
SUKHUMVIT_MAIN,13.846387, 100.579507,182
SUKHUMVIT_MAIN,13.845843, 100.579182,183
SUKHUMVIT_MAIN,13.845327, 100.578874,184
SUKHUMVIT_MAIN,13.844791, 100.578568,185
SUKHUMVIT_MAIN,13.844267, 100.578257,186
SUKHUMVIT_MAIN,13.843772, 100.577965,187
SUKHUMVIT_MAIN,13.843270, 100.577670,188
SUKHUMVIT_MAIN,13.842733, 100.577358,189
SUKHUMVIT_MAIN,13.842314, 100.577109,190
SUKHUMVIT_MAIN,13.841814, 100.576809,191
SUKHUMVIT_MAIN,13.841598, 100.576677,192
SUKHUMVIT_MAIN,13.841142, 100.576414,193
SUKHUMVIT_MAIN,13.840684, 100.576141,194
SUKHUMVIT_MAIN,13.839985, 100.575720,195
SUKHUMVIT_MAIN,13.838957, 100.575130,196
SUKHUMVIT_MAIN,13.838420, 100.574818,197
SUKHUMVIT_MAIN,13.837920, 100.574523,198
SUKHUMVIT_MAIN,13.837548, 100.574304,199
SUKHUMVIT_MAIN,13.837037, 100.574006,200
SUKHUMVIT_MAIN,13.836631, 100.573759,201
SUKHUMVIT_MAIN,13.836408, 100.573630,202
SUKHUMVIT_MAIN,13.836178, 100.573499,203
SUKHUMVIT_MAIN,13.835772, 100.573255,204
SUKHUMVIT_MAIN,13.835280, 100.572965,205
SUKHUMVIT_MAIN,13.834519, 100.572520,206
SUKHUMVIT_MAIN,13.833946, 100.572182,207
SUKHUMVIT_MAIN,13.833592, 100.571978,208
SUKHUMVIT_MAIN,13.832797, 100.571511,209
SUKHUMVIT_MAIN,13.831901, 100.570985,210
SUKHUMVIT_MAIN,13.831222, 100.570589,211
SUKHUMVIT_MAIN,13.830636, 100.570245,212
SUKHUMVIT_MAIN,13.829938, 100.569838,213
SUKHUMVIT_MAIN,13.829737, 100.569720,214
SUKHUMVIT_MAIN,13.829316, 100.569468,215
SUKHUMVIT_MAIN,13.828802, 100.569172,216
SUKHUMVIT_MAIN,13.828576, 100.569038,217
SUKHUMVIT_MAIN,13.827977, 100.568687,218
SUKHUMVIT_MAIN,13.827276, 100.568274,219
SUKHUMVIT_MAIN,13.826745, 100.567968,220
SUKHUMVIT_MAIN,13.826247, 100.567670,221
SUKHUMVIT_MAIN,13.825494, 100.567230,222
SUKHUMVIT_MAIN,13.824869, 100.566866,223
SUKHUMVIT_MAIN,13.824369, 100.566571,224
SUKHUMVIT_MAIN,13.824117, 100.566426,225
SUKHUMVIT_MAIN,13.823779, 100.566225,226
SUKHUMVIT_MAIN,13.823281, 100.565935,227
SUKHUMVIT_MAIN,13.822940, 100.565734,228
SUKHUMVIT_MAIN,13.822390, 100.565409,229
SUKHUMVIT_MAIN,13.821971, 100.565163,230
SUKHUMVIT_MAIN,13.821332, 100.564784,231
SUKHUMVIT_MAIN,13.820523, 100.564307,232
SUKHUMVIT_MAIN,13.819820, 100.563899,233
SUKHUMVIT_MAIN,13.819066, 100.563457,234
SUKHUMVIT_MAIN,13.818676, 100.563237,235
SUKHUMVIT_MAIN,13.818449, 100.563111,236
SUKHUMVIT_MAIN,13.817973, 100.562824,237
SUKHUMVIT_MAIN,13.817030, 100.562257,238
SUKHUMVIT_MAIN,13.816660, 100.562023,239
SUKHUMVIT_MAIN,13.816040, 100.561651,240
SUKHUMVIT_MAIN,13.815406, 100.561292,241
SUKHUMVIT_MAIN,13.814993, 100.561045,242
SUKHUMVIT_MAIN,13.814553, 100.560774,243
SUKHUMVIT_MAIN,13.814246, 100.560603,244
SUKHUMVIT_MAIN,13.814003, 100.560450,245
SUKHUMVIT_MAIN,13.813042, 100.559819,246
SUKHUMVIT_MAIN,13.812615, 100.559538,247
SUKHUMVIT_MAIN,13.812459, 100.559439,248
SUKHUMVIT_MAIN,13.812313, 100.559353,249
SUKHUMVIT_MAIN,13.812188, 100.559283,250
SUKHUMVIT_MAIN,13.812063, 100.559224,251
SUKHUMVIT_MAIN,13.811883, 100.559149,252
SUKHUMVIT_MAIN,13.811701, 100.559069,253
SUKHUMVIT_MAIN,13.811412, 100.558918,254
SUKHUMVIT_MAIN,13.811032, 100.558696,255
SUKHUMVIT_MAIN,13.810219, 100.558232,256
SUKHUMVIT_MAIN,13.809565, 100.557862,257
SUKHUMVIT_MAIN,13.808953, 100.557507,258
SUKHUMVIT_MAIN,13.808677, 100.557339,259
SUKHUMVIT_MAIN,13.808370, 100.557164,260
SUKHUMVIT_MAIN,13.808091, 100.557003,261
SUKHUMVIT_MAIN,13.807697, 100.556770,262
SUKHUMVIT_MAIN,13.807221, 100.556491,263
SUKHUMVIT_MAIN,13.806966, 100.556341,264
SUKHUMVIT_MAIN,13.806765, 100.556228,265
SUKHUMVIT_MAIN,13.806492, 100.556070,266
SUKHUMVIT_MAIN,13.806080, 100.555831,267
SUKHUMVIT_MAIN,13.805684, 100.555590,268
SUKHUMVIT_MAIN,13.805330, 100.555383,269
SUKHUMVIT_MAIN,13.805252, 100.555351,270
SUKHUMVIT_MAIN,13.804475, 100.554898,271
SUKHUMVIT_MAIN,13.804189, 100.554737,272
SUKHUMVIT_MAIN,13.803884, 100.554557,273
SUKHUMVIT_MAIN,13.803321, 100.554222,274
SUKHUMVIT_MAIN,13.802576, 100.553777,275
SUKHUMVIT_MAIN,13.802181, 100.553543,276
SUKHUMVIT_MAIN,13.801824, 100.553334,277
SUKHUMVIT_MAIN,13.801308, 100.553034,278
