stop_id,stop_name,stop_name_th,stop_lat,stop_lon,stop_code,stop_desc,zone_id
YL09,Yaek Larm Sali,แยกลำสาลี,13.761819, 100.645550,YL09,MRT Yellow Line,
YL10,Si Kritha,ศรีกรีฑา,13.750406, 100.644805,YL10,MRT Yellow Line,
YL11,Hua Mak,หัวหมาก,13.736149, 100.641139,YL11,MRT Yellow Line,
YL12,Kalantan,กลันตัน,13.725268, 100.641801,YL12,MRT Yellow Line,
YL13,Si Nut,ศรีนุช,13.711088, 100.644171,YL13,MRT Yellow Line,
YL14,Srinagarindra 38,ศรีนครินทร์ 38,13.701123, 100.646482,YL14,MRT Yellow Line,
YL15,Suan Luang Rama IX,สวนหลวง ร.9,13.690863, 100.647104,YL15,MRT Yellow Line,
YL16,Si Udom,ศรีอุดม,13.676639, 100.646170,YL16,MRT Yellow Line,
YL17,Si Iam,ศรีเอี่ยม,13.667679, 100.645084,YL17,MRT Yellow Line,
YL18,Si La Salle,ศรีลาซาล,13.654976, 100.642139,YL18,MRT Yellow Line,
YL19,Si Bearing,ศรีแบริ่ง,13.643500, 100.636257,YL19,MRT Yellow Line,
YL20,Si Dan,ศรีด่าน,13.633107, 100.630093,YL20,MRT Yellow Line,
YL21,Si Thepha,ศรีเทพา,13.629865, 100.622704,YL21,MRT Yellow Line,
YL22,Thipphawan,ทิพวัล,13.636741, 100.609907,YL22,MRT Yellow Line,
YL23,Samrong,สำโรง,13.645043, 100.596617,YL23,MRT Yellow Line,
RN01,Krung Thep Aphiwat Central Terminal,สถานีกลางกรุงเทพอภิวัฒน์,13.804135, 100.541438,RN01,SRT Dark Red Line,
RN02,Chatuchak,จตุจักร,13.8266181,100.5494741,RN02,SRT Dark Red Line,
RN03,Wat Samian Nari,วัดเสมียนนารี,13.8415934,100.5574987,RN03,SRT Dark Red Line,
RN04,Bang Khen,บางเขน,13.8493659,100.5616724,RN04,SRT Dark Red Line,
RN05,Thung Song Hong,ทุ่งสองห้อง,13.8602057,100.5675309,RN05,SRT Dark Red Line,
RN06,Lak Si,หลักสี่,13.8863144,100.581936,RN06,SRT Dark Red Line,
RN07,Kan Kheha,การเคหะ,13.898657,100.5888732,RN07,SRT Dark Red Line,
RN08,Don Muang,ดอนเมือง,13.914688,100.5978685,RN08,SRT Dark Red Line,
RN09,Lak Hok,หลักหก,13.965713, 100.605288,RN09,SRT Red Line,
RN10,Rangsit,รังสิต,13.9905438,100.6021571,RN10,SRT Red Line,
RW01,Krung Thep Aphiwat Central Terminal,สถานีกลางกรุงเทพอภิวัฒน์,13.8039732, 100.5418915,RW01,SRT Light Red Line,
RW02,Bang Son,บางซ่อน,13.8221332,100.534213,RW02,SRT Light Red Line,
RW03,,,,,,,
RW04,,,,,,,
RW05,Bang Bamru,บางบำหรุ,13.7922078,100.4775032,RW05,SRT Light Red Line,
RW06,Taling Chan,ตลิ่งชัน,13.7892723,100.4400797,RW06,SRT Light Red Line,
PP01,Khlong Bang Phai,คลองบางไผ่,13.8924338,100.4082161,PP01,MRT Purple Line,
PP02,Talad Bang Yai,ตลาดบางใหญ่,13.8810117,100.4092870,PP02,MRT Purple Line,
PP03,Sam Yaek Bang Yai,สามแยกบางใหญ่,13.8746749,100.4193624,PP03,MRT Purple Line,
PP04,Bang Phlu,บางพลู,13.8757677,100.4338011,PP04,MRT Purple Line,
PP05,Bang Rak Yai,บางรักใหญ่,13.8766070,100.4449359,PP05,MRT Purple Line,
PP06,Bang Rak Noi Tha It,บางรักน้อยท่าอิฐ,13.8748084,100.4559653,PP06,MRT Purple Line,
PP07,Sai Ma,ไทรม้า,13.870512, 100.466693,PP07,MRT Purple Line,
PP08,Phra Nang Klao Bridge,สะพานพระนั่งเกล้า,13.8702897,100.4801284,PP08,MRT Purple Line,
PP09,Yaek Nonthaburi 1,แยกนนทบุรี 1,13.8659610,100.4940765,PP09,MRT Purple Line,
PP10,Bang Krasor,บางกระสอ,13.8616527,100.5046524,PP10,MRT Purple Line,
PP11,Nonthaburi Civic Center,ศูนย์ราชการจังหวัดนนทบุรี,13.8601736,100.5130671,PP11,MRT Purple Line,
PP12,Ministry of Public Health,กระทรวงสาธารณสุข,13.8485312,100.5147152,PP12,MRT Purple Line,
PP13,Yaek Tiwanon,แยกติวานนท์,13.8395295,100.5149681,PP13,MRT Purple Line,
PP14,Wong Sawang,วงศ์สว่าง,13.8298636,100.5264960,PP14,MRT Purple Line,
PP15,Bang Son,บางซ่อน,13.8200830, 100.5324554,PP15,MRT Purple Line,
PP16,Tao Poon,เตาปูน,13.8061627,100.5307752,PP16,MRT Purple Line,
A1,Suvarnabhumi,สุวรรณภูมิ,13.6942671,100.7512883,A1,Air Port Link,
A2,Lat Krabang,ลาดกระบัง,13.727673, 100.748596,A2,Air Port Link,
A3,Ban Thap Chang,บ้านทับช้าง,13.732887, 100.690816,A3,Air Port Link,
A4,Hua Mak,หัวหมาก,13.738008, 100.645262,A4,Air Port Link,
A5,Ramkhamkhaeng,รามคำแหง,13.7429933,100.6001541,A5,Air Port Link,
A6,Makkasan,มักกะสัน,13.750869, 100.561134,A6,Air Port Link,
A7,Ratchaprarop,ราชปรารภ,13.755093, 100.542122,A7,Air Port Link,
A8,Phaya Thai,พญาไท,13.756713, 100.534910,A8,Air Port Link,
WWY,Wongwian Yai,วงเวียนใหญ่,13.724367, 100.491235,WWY,SRT MaeKlong Line,
TLP,Talat Phlu,ตลาดพลู,13.720788, 100.478031,TLP,SRT MaeKlong Line,
WTK,Wutthakat,วุฒากาศ,13.712532, 100.472661,WTK,SRT MaeKlong Line,
KTS,Khlong Ton Sai,คลองต้นไทร,13.706473, 100.469793,KTS,SRT MaeKlong Line,
CTO,Chom Thong,จอมทอง,13.701816, 100.465138,CTO,SRT MaeKlong Line,
WAI,Wat Sai,วัดไทร,13.691534, 100.457576,WAI,SRT MaeKlong Line,
WTS,Wat Sing,วัดสิงห์,13.683224, 100.447682,WTS,SRT MaeKlong Line,
BBO,Bang Bon,บางบอน,13.666473, 100.428842,BBO,SRT MaeKlong Line,
KKH,Kan Kheha,การเคหะ,13.652578, 100.413250,KKH,SRT MaeKlong Line,
RSK,Rang Sakae,รางสะแก,13.649448, 100.409744,RSK,SRT MaeKlong Line,
RPO,Rang Pho,รางโพธิ์,13.639153,100.3982168,RPO,SRT MaeKlong Line,
SAY,Sam Yaek,สามแยก,13.630299, 100.388343,SAY,SRT MaeKlong Line,
PDA,Phrom Daen,พรมแดน,13.621016, 100.377977,PDA,SRT MaeKlong Line,
BKK02,Bangkok,กรุงเทพ,13.740607, 100.517089,BKK02,SRT Eastern Line,
URP,Uruphong,อุรุพงษ์,13.7585663, 100.5263051,URP,SRT Eastern Line,
PYT,Phaya Thai,พญาไท,13.7570149, 100.5331947,PYT,SRT Eastern Line,
MKS,Makkasan,มักกะสัน,13.7538395, 100.5473652,MKS,SRT Eastern Line,
ASO,Asok,อโศก,13.7500710, 100.5641387,ASO,SRT Eastern Line,
KOT,Khlong Tan,คลองตัน,13.7443390, 100.5895181,KOT,SRT Eastern Line,
SKW,Sukhumvit 71,สุขุมวิท 71,13.7428680, 100.6001383,SKW,SRT Eastern Line,
HUM,Hua Mak,หัวหมาก,13.7384330, 100.6397317,HUM,SRT Eastern Line,
BTC,Ban Thap Chang,บ้านทับช้าง,13.7329635, 100.6887303,BTC,SRT Eastern Line,
SWB,Soi Wat Lan Bun,ซอยวัดลานบุญ,13.729665, 100.718335,SWB,SRT Eastern Line,
LKB,Lat Krabang,ลาดกระบัง,13.727533, 100.748550,LKB,SRT Eastern Line,
PCK,Phra Chom Klao,พระจอมเกล้า,13.728207, 100.775469,PCK,SRT Eastern Line,
HTK,Hua Takhe,หัวตะเข้,13.7283945, 100.7829030,HTK,SRT Eastern Line,
KLP,Khlong Luang Phaeng,คลองหลวงแพ่ง,13.7200311, 100.8630527,KLP,SRT Eastern Line,
BKK,Bangkok,กรุงเทพ,13.740615, 100.516995,BKK,SRT North&Northeast Line,
YMR,Yommarat,ยมราช,13.758627, 100.521485,YMR,SRT North&Northeast Line,
RMD,Ramathibodi Hospital,โรงพยาบาลรามาธิบดี,13.768499, 100.525520,RMD,SRT North&Northeast Line,
SAM,Sam Sen,สามเสน,13.779586, 100.530009,SAM,SRT North&Northeast Line,
BSJ,Bang Sue Junction,ชุมทางบางซื่อ,13.804090, 100.540091,BSJ,SRT North&Northeast Line,
DMU,Don Muang,ดอนเมือง,13.914688,100.5978685,DMU,SRT North&Northeast Line,
RSI,Rangsit,รังสิต,13.9905438,100.6021571,RSI,SRT North&Northeast Line,
KTW,Krung Thep Aphiwat Central Terminal,สถานีกลางกรุงเทพอภิวัฒน์,13.804135, 100.541438,KTW,SRT North&Northeast Krung Thep Aphiwat Line,
DMU01,Don Muang,ดอนเมือง,13.914688,100.5978685,DMU01,SRT North&Northeast Krung Thep Aphiwat Line,
RSI01,Rangsit,รังสิต,13.9905438,100.6021571,RSI01,SRT North&Northeast Krung Thep Aphiwat Line,
TBR,Thon Buri,ธนบุรี,13.7606605, 100.4787500,TBR,SRT Thonburi Line,
JSW,Charan Sanitwong,จรัญสนิทวงศ์,13.763149, 100.472562,JSW,SRT Thonburi Line,
BGR,Bang Ramat,บางระมาด,13.7784293, 100.4534940,BGR,SRT Thonburi Line,
TCJ,Taling Chan Junction,ชุมทางตลิ่งชัน,13.789141, 100.439909,TCJ,SRT Thonburi Line,
BCP,Ban Chimphli,บ้านฉิมพลี,13.799167, 100.420597,BCP,SRT Thonburi Line,
PTM,Phutthamonthon Sai 2,พุทธมณฑล สาย 2,13.800050, 100.395024,PTM,SRT Thonburi Line,
STS,Sala Thammasop,ศาลาธรรมสพน์,13.800905, 100.370740,STS,SRT Thonburi Line,
BKK01,Bangkok,กรุงเทพ,13.740615, 100.516995,BKK01,SRT Southern Line,
YMR01,Yommarat,ยมราช,13.758627, 100.521485,YMR01,SRT Southern Line,
RMD01,Ramathibodi Hospital,โรงพยาบาลรามาธิบดี,13.768499, 100.525520,RMD01,SRT Southern Line,
SAM01,Sam Sen,สามเสน,13.779586, 100.530009,SAM01,SRT Southern Line,
BSJ01,Bang Sue Junction,ชุมทางบางซื่อ,13.804140, 100.539960,BSJ01,SRT Southern Line,
BGS,Bang Son,บางซ่อน,13.8221332, 100.534213,BGS,SRT Southern Line,
BGB,Bang Bamru,บางบำหรุ,13.7922078, 100.4775032,BGB,SRT Southern Line,
TCJ01,Taling Chan Junction,ชุมทางตลิ่งชัน,13.7892723, 100.4400797,TCJ01,SRT Southern Line,
PTM01,Phutthamonthon Sai 2,พุทธมณฑล สาย 2,13.800050, 100.395024,PTM01,SRT Southern Line,
STS01,Sala Thammasop,ศาลาธรรมสพน์,13.800905, 100.370740,STS01,SRT Southern Line,
KTW01,Krung Thep Aphiwat Central Terminal,สถานีกลางกรุงเทพอภิวัฒน์,13.8039732, 100.5418915,KTW01,SRT Southern Krung Thep Aphiwat Line,
BGB01,Bang Bamru,บางบำหรุ,13.7922078, 100.4775032,BGB01,SRT Southern Krung Thep Aphiwat Line,
SRT_1232,,รพ.รามาธิบดี,,,1232,SNNE Station,
SRT_1223,,คลองหนึ่ง,,,1223,SNNE Station,
SRT_1022,,เชียงราก,,,1022,SNNE Station,
SRT_1230,,ม.ธรรมศาสตร์,,,1230,SNNE Station,
SRT_1023,,นวนคร,,,1023,SNNE Station,
SRT_1024,,เชียงรากน้อย,,,1024,SNNE Station,
SRT_1026,,คลองพุทรา,,,1026,SNNE Station,
SRT_1028,,บางปะอิน,,,1028,SNNE Station,
SRT_1029,,บ้านโพ,,,1029,SNNE Station,
SRT_1031,,อยุธยา,,,1031,SNNE Station,
SRT_1032,,บ้านม้า,,,1032,SNNE Station,
SRT_1033,,มาบพระจันทร์,,,1033,SNNE Station,
SRT_1034,,บ้านดอนกลาง,,,1034,SNNE Station,
SRT_1035,,พระแก้ว,,,1035,SNNE Station,
SRT_1036,,ชุมทางบ้านภาชี,,,1036,SNNE Station,
SRT_1224,,ดอนหญ้านาง,,,1224,SNNE Station,
SRT_1037,,หนองวิวัฒน์,,,1037,SNNE Station,
SRT_1038,,บ้านปลักแรด,,,1038,SNNE Station,
SRT_1039,,ท่าเรือ,,,1039,SNNE Station,
SRT_1041,,บ้านหมอ,,,1041,SNNE Station,
SRT_1045,,หนองโดน,,,1045,SNNE Station,
SRT_1047,,บ้านกลับ,,,1047,SNNE Station,
SRT_1048,,บ้านป่าหวาย,,,1048,SNNE Station,
SRT_1049,,ลพบุรี 2,,,1049,SNNE Station,
SRT_1050,,ลพบุรี,,,1050,SNNE Station,
SRT_1051,,ท่าแค,,,1051,SNNE Station,
SRT_1053,,โคกกะเทียม,,,1053,SNNE Station,
SRT_1055,,หนองเต่า,,,1055,SNNE Station,
SRT_1056,,หนองทรายขาว,,,1056,SNNE Station,
SRT_1058,,บ้านหมี่,,,1058,SNNE Station,
SRT_1059,,ห้วยแก้ว,,,1059,SNNE Station,
SRT_1060,,ไผ่ใหญ่,,,1060,SNNE Station,
SRT_1229,,โรงเรียนจันเสน,,,1229,SNNE Station,
SRT_1061,,จันเสน,,,1061,SNNE Station,
SRT_1062,,บ้านกกกว้าว,,,1062,SNNE Station,
SRT_1063,,ช่องแค,,,1063,SNNE Station,
SRT_1066,,โพนทอง,,,1066,SNNE Station,
