stop_id,stop_name,stop_name_en,stop_lat,stop_lon,stop_desc
way/34134556,อิมพีเรียลเวิลด์ ลาดพร้าว,Imperial World Ladprao,13.786473,100.612628,mall
way/34565262,มหาวิทยาลัยรามคำแหง วิทยาเขตปัจฉิมสวัสดิ์ - สุวรรณนภาศรี (วิทยาเขตบางนา),Ramkhamhaeng University Bangna Campus,13.666042,100.688886,university
way/37871875,ลานจักรพงษ์,Chakrabongse Yard,13.736792,100.531727,park
way/37906413,อุทยานเฉลิมพระเกียรติ รัชกาลที่ ๙,King Rama IX Memorial Park,13.762211,100.517576,park
way/37910308,วังสระปทุม,Sa Pathum Palace,13.748611,100.533721,garden
way/38001215,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.847134,100.569711,university
way/38001585,โรงเรียนมาแตร์เดอีวิทยาลัย,Mater Dei School,13.743334,100.542857,school
way/39724046,โรงเรียนอัสสัมชัญ แผนกประถม,Assumption College Primary Section,13.716244,100.526493,school
way/39724262,สีลม เอจ,Silom Edge,13.729451,100.535901,mall
way/39728050,วิทยาลัยเซนต์หลุยส์,Saint Louis College,13.717304,100.522368,school
way/39763497,สถานเอกอัครสมณทูตวาติกัน,Apostolic Nunciature,13.718961,100.523442,diplomatic
way/39837332,Ascott,Ascott,13.720569,100.528307,hotel
way/39838990,วัดเซนต์หลุยส์,Saint Louis Catholic Church,13.719533,100.523878,place_of_worship
way/40069335,ศาลเจ้าพ่อกวนอู,ศาลเจ้าพ่อกวนอู,13.709577,100.533620,place_of_worship
way/40087294,ศาลแพ่งกรุงเทพใต้,Bangkok South Civil Court,13.713628,100.514069,courthouse
way/43268017,ธนิยะพลาซา บีทีเอส วิง,Thaniya Building,13.728694,100.533697,mall
way/44372568,สวน ๕๐ พรรษา มหาจักรีสิรินธร,Maha Chakri Sirindhorn's 50th Birthday Park,13.676128,100.677432,park
way/48967628,สถานเอกอัครราชทูตสหรัฐอเมริกา (แผนกกงสุล),The Embassy of the United States of America (Consular Section),13.735995,100.547443,diplomatic
way/53272498,โรงเรียนประถมนนทรี,โรงเรียนประถมนนทรี,13.712883,100.551938,school
way/53575452,นนทรี เรสชิเดนซ์,Nonsi Residence,13.713799,100.552089,hotel
way/56297939,สวนเสรีไทย,Seri Thai Park,13.785613,100.671484,park
way/59283338,สวนพระนคร,Phra Nakhon Park,13.720688,100.781180,park
way/62216205,เพลินจิต​ เซ็นเตอร์,Ploenchit Center,13.741723,100.551420,mall
way/62226117,Design Square,Design Square,13.667218,100.642768,mall
way/62226123,โรงพยาบาลไทยนครินทร์,Thai Nakarin Hospital,13.668191,100.638388,hospital
way/63092367,โรงเรียนพระแม่มารีพระโขนง,Pra Mae Mary Prakhanong School,13.718386,100.590866,school
way/75496098,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,13.845460,100.571306,college
way/75498137,คณะประมง,คณะประมง,13.854551,100.568243,college
way/75719557,คณะวิศวกรรมศาสตร์,Faculty of Engineering,13.845573,100.568852,university
way/76510920,HOMM SUKHUMVIT34,HOMM SUKHUMVIT34,13.723908,100.572450,hotel
way/76510928,Hotel JAL City Bangkok,Hotel JAL City Bangkok,13.725756,100.578702,hotel
way/76510931,โรงแรมฮิลตัน สุขุมวิท กรุงเทพ,โรงแรมฮิลตัน สุขุมวิท กรุงเทพ,13.728372,100.569316,hotel
way/79627141,อนุบาลชวนชื่น,Chuan Chuen Kindergarten,13.721532,100.527457,kindergarten
way/82072863,วัดชนะสงครามราชวรมหาวิหาร,Wat Chana Songkhram Ratwon Maha Wihan,13.760383,100.495535,place_of_worship
way/88336374,โรงเรียนพระปริยัติธรรม หอติสสเทวาภิธาน,"Phrapariyatthamma School, Ho Tissathevaphithan",13.749084,100.500255,school
way/88359230,วัดสระเกศราชวรมหาวิหาร,Wat Saket Ratchaworamahawihan,13.753523,100.507839,place_of_worship
way/90578759,วัดพิชยญาติการามวรวิหาร,Wat Phitchaya Yatikaram Worawihan,13.732870,100.496807,place_of_worship
way/92362832,สวนวนธรรม,Wanadharm Park,13.683305,100.656310,park
way/93061578,สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ,Her Majesty the Queen's 60th Birthday Park,13.763665,100.732507,park
way/95946356,สำนักงานเขตบางแค,Bang Khae District Office,13.696075,100.409137,townhall
way/96359391,เดอะมอลล์ บางแค,The Mall Bangkae,13.713587,100.407751,mall
way/97555393,เซ็นทรัลพลาซา พระราม 2,Central Plaza Rama 2,13.663923,100.438090,mall
way/97964930,เซ็นทรัลปาร์คพระราม 2,Central Park Rama II,13.664851,100.436036,park
way/98795128,Nouvo City,Nouvo City,13.762759,100.499284,hotel
way/99029133,Century Park Hotel,Century Park Hotel,13.762347,100.543376,hotel
way/99029135,สวนสันติภาพ,Santi Phap Park,13.762500,100.541128,park
way/99343166,14 เพลส อพาร์ทเม้นท์,14 Place Apartment,13.673603,100.454782,hotel
way/101350400,สำนักงานเขตบางขุนเทียน,Bang Khun Thian District Office,13.660918,100.435272,townhall
way/101521915,ยูเนี่ยน มอลล์,Union Mall,13.813779,100.561737,mall
way/103022363,วัดราชนัดดารามวรวิหาร,Wat Ratchanatdaram Worawihan,13.754903,100.504147,place_of_worship
way/103670918,วัดบรมสถล,Wat Borom Sathon,13.713417,100.517073,place_of_worship
way/103670927,โรงเรียนโกศลภัทรวิทย์,Kosolphattharawit School,13.715176,100.517032,school
way/107936511,Rambuttri 154,Rambuttri 154,13.759682,100.498065,guest_house
way/107936515,Four Sons Inn,Four Sons Inn,13.759497,100.498385,guest_house
way/113107217,วัดใต้,Wat Tai,13.713024,100.603039,place_of_worship
way/113107220,โรงเรียนวัดใต้,Wat Tai School,13.713007,100.603677,school
way/113113574,อาคาร 4,Building 4,13.727837,100.564696,school
way/113113576,โรงเรียนสายน้ำผึ้ง,Sainampeung School,13.727454,100.564492,school
way/113135414,People Park Community Mall,People Park Community Mall,13.711759,100.608067,mall
way/113135445,เซ็นจูรี่ เดอะมูฟวี่ พลาซ่า สุขุมวิท,เซ็นจูรี่ เดอะมูฟวี่ พลาซ่า สุขุมวิท,13.705609,100.601798,mall
way/113135467,โรงเรียนวัดมหาบุศย์,Wat Mahabut School,13.714003,100.607512,school
way/113137626,"The Athenee Hotel, a Luxury Collection Hotel, Bangkok","The Athenee Hotel, a Luxury Collection Hotel, Bangkok",13.741222,100.548034,hotel
way/116173028,สถาบันเกอเธ่,Goethe Institute,13.724084,100.545744,school
way/118171998,วัดมหรรณพารามวรวิหาร,Wat Mahannapharam Worawihan,13.754895,100.499447,place_of_worship
way/120179117,Room Residence,Room Residence,13.761289,100.493785,guest_house
way/120179119,Sleep Withinn,Sleep Withinn,13.760106,100.496762,hotel
way/121197812,Freeway Guest House,Freeway Guest House,13.787855,100.552226,guest_house
way/121239918,เจเจมอลล์,JJ Mall,13.801856,100.548995,mall
way/121459619,Sawasdee Bangkok Inn,Sawasdee Bangkok Inn,13.758502,100.496818,guest_house
way/121462565,Rikka Inn,Rikka Inn,13.758673,100.498348,hotel
way/121462566,Buddy Shopping Plaza,Buddy Shopping Plaza,13.758553,100.498485,mall
way/121462568,Khaosan Park Resort,Khaosan Park Resort,13.758244,100.497884,hotel
way/121554541,ดิโอลด์สยามพลาซ่า,The Old Siam Plaza,13.745874,100.500214,mall
way/121554545,ไชน่าเวิลด์,China world,13.744953,100.501737,mall
way/121554548,อินเดีย เอ็มโพเรียม,India Emporium,13.743873,100.501020,mall
way/123189159,สถานพยาบาล,Infirmary of Kasetsart University,13.846708,100.568326,hospital
way/124851954,โรงพยาบาลพญาไท 2,Phyathai 2 Hospital,13.770137,100.540512,hospital
way/125735340,โรงพยาบาลราชวิถี,Rajavithi Hospital,13.763999,100.536230,hospital
way/125738413,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,Phramongkutklao College of Medicine,13.769673,100.531402,college
way/127288700,ทำเนียบองคมนตรี,Privy Council House,13.749478,100.494793,government
way/127290889,ศาลหลักเมืองกรุงเทพมหานคร,Bangkok City Pillar Shrine,13.752564,100.494031,place_of_worship
way/127851223,The Nine Center Rama 9,The Nine Center Rama 9,13.741339,100.625204,mall
way/134106781,BB House II,BB House II,13.760823,100.493586,guest_house
way/138947233,แบงค็อกเบดแอนด์ไบค์,Bangkok Bed and Bike,13.747394,100.497440,hostel
way/138947464,วัดราชบพิธสถิตมหาสีมารามราชวรวิหาร,Wat Ratchabophit Sathit Maha Simaram Ratchaworawihan,13.749209,100.497129,place_of_worship
way/138948365,กองบังคับการตำรวจนครบาล 6,Metropolitan Police Department 6,13.746103,100.499285,police
way/139354501,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University,13.732185,100.488988,university
way/139359423,โรงเรียนมัธยมสาธิตมหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,The Demonstration School of Bansomdejchaopraya Rajabhat University,13.732057,100.488587,school
way/139362149,โรงเรียนประถมสาธิตมหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,โรงเรียนประถมสาธิตมหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,13.731533,100.487221,school
way/139541677,รามาดา บาย วินด์แฮม กรุงเทพ สุขุมวิท 11,Ramada by Wyndham Bangkok Sukhumvit 11,13.740931,100.556529,hotel
way/140405126,ตึกไทย-เยอรมัน,ตึกไทย-เยอรมัน,13.818786,100.514704,university
way/142576745,สวนสาธารณะกัลปพฤกษ์,สวนสาธารณะกัลปพฤกษ์,13.683265,100.408152,park
way/145936260,ไอทีสแควร์,IT Square,13.886100,100.581235,mall
way/146156749,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.873754,100.592562,place_of_worship
way/146461574,Centara Grand @ Central Plaza,Centara Grand @ Central Plaza,13.817999,100.559845,hotel
way/146461579,โรงเรียนอัสสัมชัญศึกษา,Assumption Suksa school,13.722167,100.515563,school
way/148801187,โรงแรมพงษ์เพชร,โรงแรมพงษ์เพชร,13.852268,100.544893,hotel
way/149587223,ไอทีแกรนด์บางแค,IT Grand Bangkae,13.712600,100.424847,mall
way/149979928,มหาวิทยาลัยราชภัฏธนบุรี,Dhonburi Rajabhat University,13.733987,100.491560,university
way/151111598,The Mall Ramkhamhaeng 2,The Mall Ramkhamhaeng 2,13.752919,100.609407,mall
way/151579597,วัดสามัคคีธรรม,Wat Samakkhi Tham,13.783939,100.599409,place_of_worship
way/151734004,ถนอมมิตรปาร์ค,ถนอมมิตรปาร์ค,13.855639,100.644542,park
way/152263167,Shama Serviced Apartments,Shama Serviced Apartments,13.740624,100.552524,hotel
way/152263168,DoubleTree by Hilton Bangkok Ploenchit,DoubleTree by Hilton Bangkok Ploenchit,13.740421,100.551487,hotel
